"ID","producto_name","producto_especificaciones","producto_vendido_por","producto_precio_descuento","producto_precio_con_oferta","producto_precio_sin_oferta","producto_promocion_blackdays","producto_referencias","producto_descuento","producto_tiempo_llegada","producto_envios_gratis","created_at","id"
1,"TOUS","Perfume de Mujer Neoncandy 90 ml EDT","Por Falabella",149990,169990,389900,"Black Days","(23)","-62%","Llega mañana","No","2025-05-21T00:38:24.287941",1
2,"TOMMY HILFIGER","Perfume Hombre 100 ml EDT","Por Falabella",149990,169990,244900,"Black Days","(536)","-39%","Llega mañana","No","2025-05-21T00:38:24.287941",2
3,"LANCOME","Perfume Miracle Mujer 30 ml EDP","Por Falabella",179990,149900,420000,"Sin promocion","(166)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",3
4,"TOMMY HILFIGER","Perfume Mujer Girl 100 ml EDT","Por Falabella",149990,169990,244900,"Black Days","(577)","-39%","Llega mañana","No","2025-05-21T00:38:24.287941",4
5,"VERSACE","Perfume Eau Fraiche Pour Homme Hombre 100 ml EDT","Por Falabella",199990,204990,499990,"Black Days","(558)","-60%","Llega mañana","No","2025-05-21T00:38:24.287941",5
6,"PAULINA VEGA","Perfume para Mujer 100 ml EDP","Por Falabella",109990,129990,189990,"Black Days","(235)","-42%","Llega mañana","No","2025-05-21T00:38:24.287941",6
7,"CHANEL","BLEU DE Parfum","Por Falabella",179990,890000,420000,"Sin promocion","(8)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",20
8,"MONTBLANC","Perfume Hombre Starwalker 75 ml EDT","Por Falabella",189990,209990,439900,"Black Days","(1070)","-57%","Llega mañana","No","2025-05-21T00:38:24.287941",7
9,"LATTAFA","Perfume Yara 100ml","Por Amber Oud",175000,183000,339000,"Black Days","(904)","-48%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",8
10,"LATTAFA","Perfume Khamrah 100ml","Por Amber Oud",179000,189000,450000,"Black Days","(184)","-60%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",9
11,"MAISON ALHAMBRA","Perfume Delilah Pour Femme 100ml","Por Amber Oud",155700,173000,335000,"Black Days","(69)","-54%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",10
12,"MOSCHINO","Perfume Toy 2 Mujer 100 ml EDP","Por Falabella",269900,309990,519990,"Black Days","(10)","-48%","Llega mañana","No","2025-05-21T00:38:24.287941",11
13,"VERSACE","Perfume Eros Flame Hombre 200 ml EDP","Por Falabella",469990,554990,932990,"Black Days","(116)","-50%","Llega mañana","No","2025-05-21T00:38:24.287941",12
14,"LATTAFA","Perfume Badee Al Oud Amethyst 100ml","Por Amber Oud",173700,193000,339000,"Black Days","(182)","-49%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",13
15,"LANCOME","Perfume La Vie Est Belle Mujer 30 ml EDP","Por Falabella",179990,184990,249990,"Black Days","(828)","-26%","Llega mañana","No","2025-05-21T00:38:24.287941",14
16,"LATTAFA","Perfume Eclaire 100ML","Por Amber Oud",188100,209000,420000,"Black Days","(12)","-55%","Desconocido","Envío gratis","2025-05-21T00:38:24.287941",15
17,"ARMANI","Perfume Hombre Aqua Di Gio 200 ml EDT","Por Falabella",179990,529990,999990,"Sin promocion","(239)","-47%","Llega mañana","No","2025-05-21T00:38:24.287941",16
18,"DOLCE&GABBANA","Set de Perfume Mujer Dolce & Gabbana Incluye:3 Productos","Por Falabella",179990,469990,420000,"Sin promocion","(0)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",17
19,"LATTAFA","Perfume Asad 100ml","Por Amber Oud",170100,189000,330000,"Black Days","(83)","-48%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",18
20,"CHANEL","CHANCE EAU SPLENDIDE EAU DE PARFUM","Por Falabella",179990,771000,420000,"Sin promocion","(0)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",19
21,"LATTAFA","Perfume Badee Al Oud Sublime 100ml","Por Amber Oud",170100,189000,420000,"Black Days","(100)","-60%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",21
22,"LATTAFA","Perfume Oud For Glory 100ml","Por Amber Oud",179000,186000,330000,"Black Days","(205)","-46%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",22
23,"LATTAFA","Perfume Yara Candy 100ML + Body Spray Yara 200ML","Por Amber Oud",179100,199000,420000,"Black Days","(0)","-57%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",23
24,"DIOR","Perfume Mujer Miss Dior EDP","Por Falabella",179990,764000,420000,"Sin promocion","(51)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",24
25,"CHANEL","CHANCE EAU TENDRE Eau de Parfum","Por Falabella",179990,771000,420000,"Sin promocion","(110)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",25
26,"LATTAFA","Perfume Yara Candy 100ML","Por Amber Oud",170100,189000,420000,"Black Days","(30)","-60%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",26
27,"DIOR","Perfume Hombre Dior Sauvage 100 ml EDT","Por Falabella",179990,567000,420000,"Sin promocion","(142)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",34
28,"CLINIQUE","Perfume hombre Happy for men 100 ml edt","Por Falabella",179990,161900,389990,"Black Days","(710)","-58%","Llega mañana","No","2025-05-21T00:38:24.287941",27
29,"CAROLINA HERRERA","Perfume Mujer CH EDT 30 ml","Por Falabella",179990,179900,420000,"Sin promocion","(256)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",28
30,"CLINIQUE","Perfume mujer Perfume Happy parfum spray 100 ml","Por Falabella",179990,169900,399990,"Black Days","(442)","-58%","Llega mañana","No","2025-05-21T00:38:24.287941",29
